timestamp,beats per minute,data source
2025-08-12T00:00:02Z,62.0,Sense 2
2025-08-12T00:00:05Z,62.0,Sense 2
2025-08-12T00:00:08Z,62.0,Sense 2
2025-08-12T00:00:11Z,62.0,Sense 2
2025-08-12T00:00:14Z,62.0,Sense 2
2025-08-12T00:00:17Z,62.0,Sense 2
2025-08-12T00:00:20Z,62.0,Sense 2
2025-08-12T00:00:23Z,62.0,Sense 2
2025-08-12T00:00:26Z,62.0,Sense 2
2025-08-12T00:00:29Z,62.0,Sense 2
2025-08-12T00:00:31Z,61.0,Sense 2
2025-08-12T00:00:34Z,61.0,Sense 2
2025-08-12T00:00:35Z,60.0,Sense 2
2025-08-12T00:00:38Z,60.0,Sense 2
2025-08-12T00:00:41Z,61.0,Sense 2
2025-08-12T00:00:43Z,60.0,Sense 2
2025-08-12T00:00:46Z,61.0,Sense 2
2025-08-12T00:00:49Z,61.0,Sense 2
2025-08-12T00:00:50Z,62.0,Sense 2
2025-08-12T00:00:53Z,62.0,Sense 2
2025-08-12T00:00:56Z,62.0,Sense 2
2025-08-12T00:00:59Z,62.0,Sense 2
2025-08-12T00:01:02Z,62.0,Sense 2
2025-08-12T00:01:05Z,62.0,Sense 2
2025-08-12T00:01:08Z,62.0,Sense 2
2025-08-12T00:01:09Z,62.0,Sense 2
2025-08-12T00:01:12Z,62.0,Sense 2
2025-08-12T00:01:13Z,64.0,Sense 2
2025-08-12T00:01:15Z,66.0,Sense 2
2025-08-12T00:01:17Z,67.0,Sense 2
2025-08-12T00:01:19Z,68.0,Sense 2
2025-08-12T00:01:21Z,67.0,Sense 2
2025-08-12T00:01:23Z,65.0,Sense 2
2025-08-12T00:01:26Z,65.0,Sense 2
2025-08-12T00:01:27Z,66.0,Sense 2
2025-08-12T00:01:29Z,65.0,Sense 2
2025-08-12T00:01:32Z,65.0,Sense 2
2025-08-12T00:01:35Z,65.0,Sense 2
2025-08-12T00:01:36Z,64.0,Sense 2
2025-08-12T00:01:39Z,64.0,Sense 2
2025-08-12T00:01:42Z,64.0,Sense 2
2025-08-12T00:01:45Z,64.0,Sense 2
2025-08-12T00:01:46Z,63.0,Sense 2
2025-08-12T00:01:49Z,63.0,Sense 2
2025-08-12T00:01:52Z,63.0,Sense 2
2025-08-12T00:01:55Z,63.0,Sense 2
2025-08-12T00:01:57Z,64.0,Sense 2
2025-08-12T00:01:59Z,63.0,Sense 2
2025-08-12T00:02:02Z,63.0,Sense 2
2025-08-12T00:02:05Z,63.0,Sense 2
2025-08-12T00:02:07Z,62.0,Sense 2
2025-08-12T00:02:10Z,62.0,Sense 2
2025-08-12T00:02:13Z,62.0,Sense 2
2025-08-12T00:02:16Z,62.0,Sense 2
2025-08-12T00:02:19Z,62.0,Sense 2
2025-08-12T00:02:20Z,62.0,Sense 2
2025-08-12T00:02:23Z,62.0,Sense 2
2025-08-12T00:02:26Z,62.0,Sense 2
2025-08-12T00:02:28Z,62.0,Sense 2
2025-08-12T00:02:31Z,62.0,Sense 2
2025-08-12T00:02:34Z,62.0,Sense 2
2025-08-12T00:02:37Z,62.0,Sense 2
2025-08-12T00:02:40Z,62.0,Sense 2
2025-08-12T00:02:43Z,62.0,Sense 2
2025-08-12T00:02:46Z,62.0,Sense 2
2025-08-12T00:02:47Z,61.0,Sense 2
2025-08-12T00:02:50Z,61.0,Sense 2
2025-08-12T00:02:53Z,61.0,Sense 2
2025-08-12T00:02:56Z,61.0,Sense 2
2025-08-12T00:02:57Z,61.0,Sense 2
2025-08-12T00:03:00Z,61.0,Sense 2
2025-08-12T00:03:03Z,61.0,Sense 2
2025-08-12T00:03:05Z,62.0,Sense 2
2025-08-12T00:03:07Z,61.0,Sense 2
2025-08-12T00:03:10Z,62.0,Sense 2
2025-08-12T00:03:13Z,62.0,Sense 2
2025-08-12T00:03:16Z,62.0,Sense 2
2025-08-12T00:03:19Z,62.0,Sense 2
2025-08-12T00:03:22Z,62.0,Sense 2
2025-08-12T00:03:25Z,62.0,Sense 2
2025-08-12T00:03:28Z,62.0,Sense 2
2025-08-12T00:03:31Z,62.0,Sense 2
2025-08-12T00:03:33Z,63.0,Sense 2
2025-08-12T00:03:35Z,62.0,Sense 2
2025-08-12T00:03:37Z,63.0,Sense 2
2025-08-12T00:03:39Z,64.0,Sense 2
2025-08-12T00:03:42Z,64.0,Sense 2
2025-08-12T00:03:45Z,64.0,Sense 2
2025-08-12T00:03:48Z,64.0,Sense 2
2025-08-12T00:03:51Z,64.0,Sense 2
2025-08-12T00:03:54Z,64.0,Sense 2
2025-08-12T00:03:57Z,64.0,Sense 2
2025-08-12T00:03:58Z,63.0,Sense 2
2025-08-12T00:04:01Z,63.0,Sense 2
2025-08-12T00:04:04Z,63.0,Sense 2
2025-08-12T00:04:06Z,62.0,Sense 2
2025-08-12T00:04:08Z,62.0,Sense 2
2025-08-12T00:04:11Z,62.0,Sense 2
2025-08-12T00:04:14Z,62.0,Sense 2
2025-08-12T00:04:17Z,62.0,Sense 2
2025-08-12T00:04:20Z,62.0,Sense 2
2025-08-12T00:04:23Z,62.0,Sense 2
2025-08-12T00:04:26Z,62.0,Sense 2
2025-08-12T00:04:29Z,62.0,Sense 2
2025-08-12T00:04:31Z,62.0,Sense 2
2025-08-12T00:04:34Z,62.0,Sense 2
2025-08-12T00:04:37Z,62.0,Sense 2
2025-08-12T00:04:40Z,62.0,Sense 2
2025-08-12T00:04:43Z,62.0,Sense 2
2025-08-12T00:04:46Z,62.0,Sense 2
2025-08-12T00:04:49Z,62.0,Sense 2
2025-08-12T00:04:52Z,62.0,Sense 2
2025-08-12T00:04:55Z,62.0,Sense 2
2025-08-12T00:04:58Z,62.0,Sense 2
2025-08-12T00:05:00Z,62.0,Sense 2
2025-08-12T00:05:03Z,62.0,Sense 2
2025-08-12T00:05:06Z,62.0,Sense 2
2025-08-12T00:05:08Z,62.0,Sense 2
2025-08-12T00:05:11Z,62.0,Sense 2
2025-08-12T00:05:14Z,62.0,Sense 2
2025-08-12T00:05:17Z,62.0,Sense 2
2025-08-12T00:05:20Z,62.0,Sense 2
2025-08-12T00:05:23Z,62.0,Sense 2
2025-08-12T00:05:25Z,62.0,Sense 2
2025-08-12T00:05:27Z,61.0,Sense 2
2025-08-12T00:05:30Z,61.0,Sense 2
2025-08-12T00:05:32Z,62.0,Sense 2
2025-08-12T00:05:35Z,62.0,Sense 2
2025-08-12T00:05:38Z,62.0,Sense 2
2025-08-12T00:05:41Z,62.0,Sense 2
2025-08-12T00:05:44Z,62.0,Sense 2
2025-08-12T00:05:46Z,61.0,Sense 2
2025-08-12T00:05:49Z,61.0,Sense 2
2025-08-12T00:05:52Z,61.0,Sense 2
2025-08-12T00:05:55Z,61.0,Sense 2
2025-08-12T00:05:58Z,61.0,Sense 2
2025-08-12T00:06:01Z,61.0,Sense 2
2025-08-12T00:06:04Z,61.0,Sense 2
2025-08-12T00:06:07Z,61.0,Sense 2
2025-08-12T00:06:10Z,61.0,Sense 2
2025-08-12T00:06:13Z,61.0,Sense 2
2025-08-12T00:06:15Z,62.0,Sense 2
2025-08-12T00:06:18Z,62.0,Sense 2
2025-08-12T00:06:21Z,62.0,Sense 2
2025-08-12T00:06:24Z,62.0,Sense 2
2025-08-12T00:06:27Z,62.0,Sense 2
2025-08-12T00:06:30Z,62.0,Sense 2
2025-08-12T00:06:33Z,62.0,Sense 2
2025-08-12T00:06:36Z,62.0,Sense 2
2025-08-12T00:06:39Z,62.0,Sense 2
2025-08-12T00:06:40Z,62.0,Sense 2
2025-08-12T00:06:43Z,62.0,Sense 2
2025-08-12T00:06:46Z,62.0,Sense 2
2025-08-12T00:06:47Z,61.0,Sense 2
2025-08-12T00:06:50Z,61.0,Sense 2
2025-08-12T00:06:53Z,62.0,Sense 2
2025-08-12T00:06:56Z,62.0,Sense 2
2025-08-12T00:06:59Z,62.0,Sense 2
2025-08-12T00:07:02Z,62.0,Sense 2
2025-08-12T00:07:05Z,62.0,Sense 2
2025-08-12T00:07:08Z,62.0,Sense 2
2025-08-12T00:07:11Z,62.0,Sense 2
2025-08-12T00:07:14Z,62.0,Sense 2
2025-08-12T00:07:17Z,62.0,Sense 2
2025-08-12T00:07:20Z,62.0,Sense 2
2025-08-12T00:07:23Z,62.0,Sense 2
2025-08-12T00:07:26Z,62.0,Sense 2
2025-08-12T00:07:29Z,62.0,Sense 2
2025-08-12T00:07:32Z,61.0,Sense 2
2025-08-12T00:07:35Z,61.0,Sense 2
2025-08-12T00:07:37Z,60.0,Sense 2
2025-08-12T00:07:40Z,60.0,Sense 2
2025-08-12T00:07:41Z,61.0,Sense 2
2025-08-12T00:07:44Z,61.0,Sense 2
2025-08-12T00:07:47Z,61.0,Sense 2
2025-08-12T00:07:50Z,61.0,Sense 2
2025-08-12T00:07:53Z,61.0,Sense 2
2025-08-12T00:07:55Z,61.0,Sense 2
2025-08-12T00:07:58Z,61.0,Sense 2
2025-08-12T00:08:01Z,61.0,Sense 2
2025-08-12T00:08:02Z,62.0,Sense 2
2025-08-12T00:08:04Z,61.0,Sense 2
2025-08-12T00:08:06Z,62.0,Sense 2
2025-08-12T00:08:08Z,61.0,Sense 2
2025-08-12T00:08:11Z,61.0,Sense 2
2025-08-12T00:08:14Z,61.0,Sense 2
2025-08-12T00:08:17Z,61.0,Sense 2
2025-08-12T00:08:20Z,61.0,Sense 2
2025-08-12T00:08:23Z,61.0,Sense 2
2025-08-12T00:08:25Z,62.0,Sense 2
2025-08-12T00:08:28Z,62.0,Sense 2
2025-08-12T00:08:29Z,62.0,Sense 2
2025-08-12T00:08:32Z,62.0,Sense 2
2025-08-12T00:08:35Z,62.0,Sense 2
2025-08-12T00:08:37Z,62.0,Sense 2
2025-08-12T00:08:40Z,62.0,Sense 2
2025-08-12T00:08:43Z,61.0,Sense 2
2025-08-12T00:08:46Z,60.0,Sense 2
2025-08-12T00:08:49Z,60.0,Sense 2
2025-08-12T00:08:52Z,60.0,Sense 2
2025-08-12T00:08:55Z,60.0,Sense 2
2025-08-12T00:08:58Z,60.0,Sense 2
2025-08-12T00:09:01Z,60.0,Sense 2
2025-08-12T00:09:04Z,60.0,Sense 2
2025-08-12T00:09:05Z,60.0,Sense 2
2025-08-12T00:09:08Z,60.0,Sense 2
2025-08-12T00:09:11Z,60.0,Sense 2
2025-08-12T00:09:14Z,60.0,Sense 2
2025-08-12T00:09:17Z,60.0,Sense 2
2025-08-12T00:09:20Z,60.0,Sense 2
2025-08-12T00:09:23Z,60.0,Sense 2
2025-08-12T00:09:26Z,60.0,Sense 2
2025-08-12T00:09:29Z,60.0,Sense 2
2025-08-12T00:09:32Z,60.0,Sense 2
2025-08-12T00:09:35Z,60.0,Sense 2
2025-08-12T00:09:38Z,60.0,Sense 2
2025-08-12T00:09:41Z,60.0,Sense 2
2025-08-12T00:09:44Z,60.0,Sense 2
2025-08-12T00:09:47Z,60.0,Sense 2
2025-08-12T00:09:50Z,60.0,Sense 2
2025-08-12T00:09:51Z,60.0,Sense 2
2025-08-12T00:09:54Z,60.0,Sense 2
2025-08-12T00:09:55Z,60.0,Sense 2
2025-08-12T00:09:56Z,61.0,Sense 2
2025-08-12T00:09:59Z,61.0,Sense 2
2025-08-12T00:10:00Z,62.0,Sense 2
2025-08-12T00:10:03Z,62.0,Sense 2
2025-08-12T00:10:04Z,61.0,Sense 2
2025-08-12T00:10:07Z,61.0,Sense 2
2025-08-12T00:10:10Z,61.0,Sense 2
2025-08-12T00:10:13Z,61.0,Sense 2
2025-08-12T00:10:14Z,61.0,Sense 2
2025-08-12T00:10:17Z,61.0,Sense 2
2025-08-12T00:10:20Z,61.0,Sense 2
2025-08-12T00:10:23Z,61.0,Sense 2
2025-08-12T00:10:25Z,62.0,Sense 2
2025-08-12T00:10:28Z,62.0,Sense 2
2025-08-12T00:10:29Z,61.0,Sense 2
2025-08-12T00:10:32Z,61.0,Sense 2
2025-08-12T00:10:35Z,61.0,Sense 2
2025-08-12T00:10:38Z,61.0,Sense 2
2025-08-12T00:10:41Z,62.0,Sense 2
2025-08-12T00:10:43Z,61.0,Sense 2
2025-08-12T00:10:46Z,61.0,Sense 2
2025-08-12T00:10:49Z,61.0,Sense 2
2025-08-12T00:10:52Z,61.0,Sense 2
2025-08-12T00:10:54Z,62.0,Sense 2
2025-08-12T00:10:57Z,62.0,Sense 2
2025-08-12T00:11:00Z,62.0,Sense 2
2025-08-12T00:11:03Z,62.0,Sense 2
2025-08-12T00:11:06Z,62.0,Sense 2
2025-08-12T00:11:09Z,62.0,Sense 2
